"UPS Express Early A.M.","UPS Express in der Frühe"
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Landweg"
"UPS Letter Envelope","UPS Briefumschlag"
"UPS Next Day Air","UPS Luftfracht am nächsten Tag"
"UPS Next Day Air Early A.M.","UPS Luftfracht am frühen Morgen des nächsten Tages"
"UPS Next Day Air Saver","UPS Luftfracht am nächsten Tag Zuverlässig"
"UPS Saver","UPS Zuverlässig"
"UPS Second Day Air","UPS Luftfracht am zweiten Tag"
"UPS Second Day Air A.M.","UPS Luftfracht am Morgen des zweiten Tages"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Drei-Tage-Auswahl"
"UPS Today Dedicated Courrier","UPS Heute Kurierzustellung"
"UPS Today Express","UPS Heute Express"
"UPS Today Express Saver","UPS Heute Express Zuverlässig"
"UPS Today Intercity","UPS Heute Intercity"
"UPS Today Standard","UPS Heute Standard"
"UPS Tube","UPS Röhre"
"UPS Type","UPS Art"
"UPS Worldwide 10 kilo","UPS Weltweit 10 Kilo"
"UPS Worldwide 25 kilo","UPS Weltweit 25 Kilo"
"UPS Worldwide Expedited","UPS Weltweit Expeditiert"
"UPS Worldwide Express","UPS Weltweit Express"
"UPS Worldwide Express Plus","UPS Weltweit Express Plus"
"UPS Worldwide Express PlusSM","UPS Weltweit Express PlusSM"
"UPS Worldwide Saver","UPS Weltweit Zuverlässig"
"USPS","USPS"
"USPS GXG Envelopes","USPS GXG Umschläge"
"Unable to retrieve tracking","Nachverfolgung kann nicht abgerufen werden."
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Unbekannter Fehler"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Wird nur benutzt, wenn ""Zusätzlicher Absicherungswert"" auf ""Konfiguration"" gesetzt ist. Darf nur Zahlenwerte enthalten."
"User ID","Benutzerkennung"
"Variable","Variable"
"Waybill barcode information is missing","Frachtbrief-Barcode fehlt"
"Weight Unit","Gewichtseinheit"
"Weight unit is invalid","Gewichtseinheit ist ungültig"
"Width","Breite"
"Worldwide Expedited","Weltweit Expeditiert"
"Worldwide Express","Weltweit Express"
"Worldwide Express Letter","Weltweit Express Brief"
"Worldwide Express Plus","Weltweit Express Plus"
"Worldwide Express Plus Letter","Weltweit Express Plus Brief"
"Worldwide Express Saver","Weltweit Express Zuverlässig"
"Wrong Content Type.","Falscher Inhaltstyp."
"Wrong Region.","Falsche Region/Bundesland."
"Yes","Ja"
"Your Packaging","Ihre Verpackung"
"Zero shipping charge for '%s'","Versandkostenfrei für '%s'"
"cm","cm"
"inch","Zoll"
